Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1902,1714,999,51107.621094,0.019547
2,1000,0.1,0.2,50.0,1000,1955,1753,999,50787.738281,0.019670
3,1000,0.1,0.2,50.0,1000,1914,1723,999,48906.949219,0.020427
4,1000,0.1,0.2,50.0,1000,1885,1686,999,48720.621094,0.020505
5,1000,0.1,0.2,50.0,1000,1847,1652,998,51843.636719,0.019250
6,1000,0.1,0.2,50.0,1000,1905,1715,999,49130.113281,0.020334
7,1000,0.1,0.2,50.0,1000,1914,1686,998,50227.531250,0.019870
8,1000,0.1,0.2,50.0,1000,1871,1709,999,51451.285156,0.019416
9,1000,0.1,0.2,50.0,1000,1970,1762,999,49054.492188,0.020365
10,1000,0.1,0.2,50.0,1000,1908,1724,999,49556.730469,0.020159
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2485,1972,999,51432.773438,0.019423
2,1000,0.2,0.2,50.0,1000,2431,1968,997,48784.265625,0.020437
3,1000,0.2,0.2,50.0,1000,2480,1986,999,49878.046875,0.020029
4,1000,0.2,0.2,50.0,1000,2432,1922,999,50237.460938,0.019886
5,1000,0.2,0.2,50.0,1000,2381,1928,999,49519.316406,0.020174
6,1000,0.2,0.2,50.0,1000,2485,1980,999,49582.187500,0.020148
7,1000,0.2,0.2,50.0,1000,2511,1959,999,50026.195312,0.019970
8,1000,0.2,0.2,50.0,1000,2338,1891,999,51207.140625,0.019509
9,1000,0.2,0.2,50.0,1000,2533,2043,999,47634.167969,0.020972
10,1000,0.2,0.2,50.0,1000,2426,1955,998,50128.992188,0.019909
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,2810,1708,633,50840.285156,0.012451
2,1000,0.4,0.2,50.0,1000,2788,1692,648,49972.835938,0.012967
3,1000,0.4,0.2,50.0,1000,2828,1650,602,51244.218750,0.011748
4,1000,0.4,0.2,50.0,1000,2820,1712,692,50179.968750,0.013790
5,1000,0.4,0.2,50.0,1000,2722,1590,640,48743.957031,0.013130
6,1000,0.4,0.2,50.0,1000,2852,1755,663,51259.664062,0.012934
7,1000,0.4,0.2,50.0,1000,2697,1580,625,48488.570312,0.012890
8,1000,0.4,0.2,50.0,1000,2759,1659,673,49403.550781,0.013623
9,1000,0.4,0.2,50.0,1000,2781,1651,600,50188.871094,0.011955
10,1000,0.4,0.2,50.0,1000,2811,1693,641,50492.246094,0.012695
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2657,1085,260,51010.253906,0.005097
2,1000,0.6,0.2,50.0,1000,2548,1060,273,48571.277344,0.005621
3,1000,0.6,0.2,50.0,1000,2608,1031,270,49797.410156,0.005422
4,1000,0.6,0.2,50.0,1000,2619,1042,286,49914.531250,0.005730
5,1000,0.6,0.2,50.0,1000,2682,1072,288,51030.953125,0.005644
6,1000,0.6,0.2,50.0,1000,2647,1085,295,50546.089844,0.005836
7,1000,0.6,0.2,50.0,1000,2621,1024,258,50227.597656,0.005137
8,1000,0.6,0.2,50.0,1000,2567,1016,264,49168.539062,0.005369
9,1000,0.6,0.2,50.0,1000,2554,971,255,48794.546875,0.005226
10,1000,0.6,0.2,50.0,1000,2639,1053,268,50493.570312,0.005308
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2578,544,67,51134.042969,0.001310
2,1000,0.8,0.2,50.0,1000,2570,537,69,50858.738281,0.001357
3,1000,0.8,0.2,50.0,1000,2532,521,70,50109.464844,0.001397
4,1000,0.8,0.2,50.0,1000,2500,525,67,49469.414062,0.001354
5,1000,0.8,0.2,50.0,1000,2573,529,74,50818.257812,0.001456
6,1000,0.8,0.2,50.0,1000,2568,563,80,50785.433594,0.001575
7,1000,0.8,0.2,50.0,1000,2549,502,64,50485.503906,0.001268
8,1000,0.8,0.2,50.0,1000,2541,509,65,50352.761719,0.001291
9,1000,0.8,0.2,50.0,1000,2486,494,63,49239.964844,0.001279
10,1000,0.8,0.2,50.0,1000,2544,510,65,50438.906250,0.001289
