Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2571,2067,999,50129.515625,0.019928
2,1000,0.2,0.2,50.0,1000,2706,2153,990,49325.335938,0.020071
3,1000,0.2,0.2,50.0,1000,2694,2149,992,49711.207031,0.019955
4,1000,0.2,0.2,50.0,1000,2607,2068,997,50310.601562,0.019817
5,1000,0.2,0.2,50.0,1000,2550,2068,999,50872.703125,0.019637
6,1000,0.2,0.2,50.0,1000,2520,2008,999,50320.328125,0.019853
7,1000,0.2,0.2,50.0,1000,2629,2088,999,49086.339844,0.020352
8,1000,0.2,0.2,50.0,1000,2474,1998,999,50179.558594,0.019909
9,1000,0.2,0.2,50.0,1000,2768,2184,988,50152.339844,0.019700
10,1000,0.2,0.2,50.0,1000,2396,1941,999,49626.390625,0.020130
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2571,2067,999,50129.515625,0.019928
2,1000,0.2,0.2,50.0,1000,12778,8491,354,47886.316406,0.007393
3,1000,0.2,0.2,50.0,1000,3187,2572,999,49403.640625,0.020221
4,1000,0.2,0.2,50.0,1000,14194,8876,380,50460.253906,0.007531
5,1000,0.2,0.2,50.0,1000,2550,2068,999,50872.703125,0.019637
6,1000,0.2,0.2,50.0,1000,2520,2008,999,50320.328125,0.019853
7,1000,0.2,0.2,50.0,1000,2629,2088,999,49086.339844,0.020352
8,1000,0.2,0.2,50.0,1000,2474,1998,999,50179.558594,0.019909
9,1000,0.2,0.2,50.0,1000,2764,2184,999,49899.781250,0.020020
10,1000,0.2,0.2,50.0,1000,2396,1941,999,49626.390625,0.020130
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2571,2067,999,50129.515625,0.019928
2,1000,0.2,0.2,50.0,1000,27260,8653,211,49285.039062,0.004281
3,1000,0.2,0.2,50.0,1000,3187,2572,999,49403.640625,0.020221
4,1000,0.2,0.2,50.0,1000,24768,8734,269,49703.390625,0.005412
5,1000,0.2,0.2,50.0,1000,2550,2068,999,50872.703125,0.019637
6,1000,0.2,0.2,50.0,1000,2520,2008,999,50320.328125,0.019853
7,1000,0.2,0.2,50.0,1000,2629,2088,999,49086.339844,0.020352
8,1000,0.2,0.2,50.0,1000,2474,1998,999,50179.558594,0.019909
9,1000,0.2,0.2,50.0,1000,2764,2184,999,49899.781250,0.020020
10,1000,0.2,0.2,50.0,1000,2396,1941,999,49626.390625,0.020130
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2571,2067,999,50129.515625,0.019928
2,1000,0.2,0.2,50.0,1000,44898,8437,184,47957.660156,0.003837
3,1000,0.2,0.2,50.0,1000,3187,2572,999,49403.640625,0.020221
4,1000,0.2,0.2,50.0,1000,48021,8717,218,49563.976562,0.004398
5,1000,0.2,0.2,50.0,1000,2550,2068,999,50872.703125,0.019637
6,1000,0.2,0.2,50.0,1000,2520,2008,999,50320.328125,0.019853
7,1000,0.2,0.2,50.0,1000,2629,2088,999,49086.339844,0.020352
8,1000,0.2,0.2,50.0,1000,2474,1998,999,50179.558594,0.019909
9,1000,0.2,0.2,50.0,1000,2764,2184,999,49899.781250,0.020020
10,1000,0.2,0.2,50.0,1000,2396,1941,999,49626.390625,0.020130
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2571,2067,999,50129.515625,0.019928
2,1000,0.2,0.2,50.0,1000,85455,8635,183,48959.984375,0.003738
3,1000,0.2,0.2,50.0,1000,3187,2572,999,49403.640625,0.020221
4,1000,0.2,0.2,50.0,1000,90747,9035,224,51308.019531,0.004366
5,1000,0.2,0.2,50.0,1000,2550,2068,999,50872.703125,0.019637
6,1000,0.2,0.2,50.0,1000,2520,2008,999,50320.328125,0.019853
7,1000,0.2,0.2,50.0,1000,2629,2088,999,49086.339844,0.020352
8,1000,0.2,0.2,50.0,1000,2474,1998,999,50179.558594,0.019909
9,1000,0.2,0.2,50.0,1000,2764,2184,999,49899.781250,0.020020
10,1000,0.2,0.2,50.0,1000,2396,1941,999,49626.390625,0.020130
