Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2002,1814,999,49031.851562,0.020375
2,1000,0.1,0.2,50.0,1000,2122,1913,999,49284.097656,0.020270
3,1000,0.1,0.2,50.0,1000,1931,1708,999,49695.117188,0.020103
4,1000,0.1,0.2,50.0,1000,1975,1774,999,49496.128906,0.020183
5,1000,0.1,0.2,50.0,1000,1983,1801,998,49221.714844,0.020276
6,1000,0.1,0.2,50.0,1000,2704,2449,999,49804.636719,0.020058
7,1000,0.1,0.2,50.0,1000,2091,1865,999,48567.855469,0.020569
8,1000,0.1,0.2,50.0,1000,1900,1716,999,51299.992188,0.019474
9,1000,0.1,0.2,50.0,1000,2108,1888,998,49472.351562,0.020173
10,1000,0.1,0.2,50.0,1000,2031,1822,999,50855.011719,0.019644
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2571,2067,999,50129.515625,0.019928
2,1000,0.2,0.2,50.0,1000,12778,8491,354,47886.316406,0.007393
3,1000,0.2,0.2,50.0,1000,3187,2572,999,49403.640625,0.020221
4,1000,0.2,0.2,50.0,1000,14194,8876,380,50460.253906,0.007531
5,1000,0.2,0.2,50.0,1000,2550,2068,999,50872.703125,0.019637
6,1000,0.2,0.2,50.0,1000,2520,2008,999,50320.328125,0.019853
7,1000,0.2,0.2,50.0,1000,2629,2088,999,49086.339844,0.020352
8,1000,0.2,0.2,50.0,1000,2474,1998,999,50179.558594,0.019909
9,1000,0.2,0.2,50.0,1000,2764,2184,999,49899.781250,0.020020
10,1000,0.2,0.2,50.0,1000,2396,1941,999,49626.390625,0.020130
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,25202,7923,327,49453.484375,0.006612
2,1000,0.4,0.2,50.0,1000,25446,7664,408,50169.074219,0.008132
3,1000,0.4,0.2,50.0,1000,14009,4912,730,48949.957031,0.014913
4,1000,0.4,0.2,50.0,1000,22756,6995,488,51092.351562,0.009551
5,1000,0.4,0.2,50.0,1000,26023,7736,381,50490.687500,0.007546
6,1000,0.4,0.2,50.0,1000,30188,8896,240,50117.949219,0.004789
7,1000,0.4,0.2,50.0,1000,13988,5366,741,49566.382812,0.014950
8,1000,0.4,0.2,50.0,1000,7353,3370,928,49872.035156,0.018608
9,1000,0.4,0.2,50.0,1000,22345,6703,518,49837.921875,0.010394
10,1000,0.4,0.2,50.0,1000,28498,8029,333,50617.417969,0.006579
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,52067,8650,191,49118.960938,0.003889
2,1000,0.6,0.2,50.0,1000,57271,9460,212,52743.398438,0.004019
3,1000,0.6,0.2,50.0,1000,53327,8594,194,49094.035156,0.003952
4,1000,0.6,0.2,50.0,1000,57160,8934,191,50215.906250,0.003804
5,1000,0.6,0.2,50.0,1000,54083,8814,224,50470.792969,0.004438
6,1000,0.6,0.2,50.0,1000,55546,8898,152,50036.156250,0.003038
7,1000,0.6,0.2,50.0,1000,56071,8947,198,50674.199219,0.003907
8,1000,0.6,0.2,50.0,1000,56208,8961,175,51755.121094,0.003381
9,1000,0.6,0.2,50.0,1000,59753,9094,153,51216.839844,0.002987
10,1000,0.6,0.2,50.0,1000,55911,8738,179,49935.558594,0.003585
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,86345,8894,145,50028.566406,0.002898
2,1000,0.8,0.2,50.0,1000,86355,8881,147,49868.070312,0.002948
3,1000,0.8,0.2,50.0,1000,86825,8781,137,48883.382812,0.002803
4,1000,0.8,0.2,50.0,1000,84954,8744,164,48775.785156,0.003362
5,1000,0.8,0.2,50.0,1000,89214,9048,142,50609.285156,0.002806
6,1000,0.8,0.2,50.0,1000,86950,8988,160,50631.687500,0.003160
7,1000,0.8,0.2,50.0,1000,86008,8804,135,49166.730469,0.002746
8,1000,0.8,0.2,50.0,1000,85696,8910,151,49985.914062,0.003021
9,1000,0.8,0.2,50.0,1000,90154,9148,183,52102.296875,0.003512
10,1000,0.8,0.2,50.0,1000,83459,8748,141,49023.636719,0.002876
