Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.0,50.0,1000,1581,1263,999,49756.894531,0.020078
2,1000,0.2,0.0,50.0,1000,1583,1247,999,49569.003906,0.020154
3,1000,0.2,0.0,50.0,1000,1599,1267,999,49432.308594,0.020209
4,1000,0.2,0.0,50.0,1000,1563,1241,998,48876.640625,0.020419
5,1000,0.2,0.0,50.0,1000,1537,1236,999,50085.140625,0.019946
6,1000,0.2,0.0,50.0,1000,1515,1224,999,51405.128906,0.019434
7,1000,0.2,0.0,50.0,1000,1570,1246,999,50968.652344,0.019600
8,1000,0.2,0.0,50.0,1000,1480,1214,999,49604.453125,0.020139
9,1000,0.2,0.0,50.0,1000,1583,1252,999,49792.781250,0.020063
10,1000,0.2,0.0,50.0,1000,1551,1262,999,48711.828125,0.020508
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.0,50.0,1000,71,61,7,49884.957031,0.000140
2,1000,0.2,0.0,50.0,1000,59,47,4,49205.292969,0.000081
3,1000,0.2,0.0,50.0,1000,75,60,9,51054.562500,0.000176
4,1000,0.2,0.0,50.0,1000,69,63,8,48352.066406,0.000165
5,1000,0.2,0.0,50.0,1000,57,54,17,50036.613281,0.000340
6,1000,0.2,0.0,50.0,1000,57,44,2,49715.421875,0.000040
7,1000,0.2,0.0,50.0,1000,83,58,10,49964.984375,0.000200
8,1000,0.2,0.0,50.0,1000,52,40,4,49989.800781,0.000080
9,1000,0.2,0.0,50.0,1000,56,40,2,48315.253906,0.000041
10,1000,0.2,0.0,50.0,1000,59,38,3,50196.335938,0.000060
