Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2467,1958,999,51257.878906,0.019490
2,1000,0.2,0.2,50.0,1000,2431,1941,999,49630.285156,0.020129
3,1000,0.2,0.2,50.0,1000,2558,2004,999,50756.632812,0.019682
4,1000,0.2,0.2,50.0,1000,2405,1908,999,49470.941406,0.020194
5,1000,0.2,0.2,50.0,1000,2408,1939,999,49410.000000,0.020219
6,1000,0.2,0.2,50.0,1000,2492,2000,999,50224.593750,0.019891
7,1000,0.2,0.2,50.0,1000,2537,1994,995,50274.972656,0.019791
8,1000,0.2,0.2,50.0,1000,2368,1907,998,50824.402344,0.019636
9,1000,0.2,0.2,50.0,1000,2543,2016,999,49330.839844,0.020251
10,1000,0.2,0.2,50.0,1000,2414,1931,999,48348.257812,0.020663
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2467,1958,999,51257.878906,0.019490
2,1000,0.2,0.2,50.0,1000,2431,1941,999,49630.285156,0.020129
3,1000,0.2,0.2,50.0,1000,2558,2004,999,50756.632812,0.019682
4,1000,0.2,0.2,50.0,1000,2405,1908,999,49470.941406,0.020194
5,1000,0.2,0.2,50.0,1000,2408,1939,999,49410.000000,0.020219
6,1000,0.2,0.2,50.0,1000,2492,2000,999,50224.593750,0.019891
7,1000,0.2,0.2,50.0,1000,2537,1994,995,50274.972656,0.019791
8,1000,0.2,0.2,50.0,1000,2368,1907,998,50824.402344,0.019636
9,1000,0.2,0.2,50.0,1000,2543,2016,999,49330.839844,0.020251
10,1000,0.2,0.2,50.0,1000,2414,1931,999,48348.257812,0.020663
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2467,1958,999,51257.878906,0.019490
2,1000,0.2,0.2,50.0,1000,2431,1941,999,49630.285156,0.020129
3,1000,0.2,0.2,50.0,1000,2558,2004,999,50756.632812,0.019682
4,1000,0.2,0.2,50.0,1000,2405,1908,999,49470.941406,0.020194
5,1000,0.2,0.2,50.0,1000,2408,1939,999,49410.000000,0.020219
6,1000,0.2,0.2,50.0,1000,2492,2000,999,50224.593750,0.019891
7,1000,0.2,0.2,50.0,1000,2537,1994,995,50274.972656,0.019791
8,1000,0.2,0.2,50.0,1000,2368,1907,998,50824.402344,0.019636
9,1000,0.2,0.2,50.0,1000,2543,2016,999,49330.839844,0.020251
10,1000,0.2,0.2,50.0,1000,2414,1931,999,48348.257812,0.020663
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2467,1958,999,51257.878906,0.019490
2,1000,0.2,0.2,50.0,1000,2431,1941,999,49630.285156,0.020129
3,1000,0.2,0.2,50.0,1000,2558,2004,999,50756.632812,0.019682
4,1000,0.2,0.2,50.0,1000,2405,1908,999,49470.941406,0.020194
5,1000,0.2,0.2,50.0,1000,2408,1939,999,49410.000000,0.020219
6,1000,0.2,0.2,50.0,1000,2492,2000,999,50224.593750,0.019891
7,1000,0.2,0.2,50.0,1000,2537,1994,995,50274.972656,0.019791
8,1000,0.2,0.2,50.0,1000,2368,1907,998,50824.402344,0.019636
9,1000,0.2,0.2,50.0,1000,2543,2016,999,49330.839844,0.020251
10,1000,0.2,0.2,50.0,1000,2414,1931,999,48348.257812,0.020663
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2467,1958,999,51257.878906,0.019490
2,1000,0.2,0.2,50.0,1000,2431,1941,999,49630.285156,0.020129
3,1000,0.2,0.2,50.0,1000,2558,2004,999,50756.632812,0.019682
4,1000,0.2,0.2,50.0,1000,2405,1908,999,49470.941406,0.020194
5,1000,0.2,0.2,50.0,1000,2408,1939,999,49410.000000,0.020219
6,1000,0.2,0.2,50.0,1000,2492,2000,999,50224.593750,0.019891
7,1000,0.2,0.2,50.0,1000,2537,1994,995,50274.972656,0.019791
8,1000,0.2,0.2,50.0,1000,2368,1907,998,50824.402344,0.019636
9,1000,0.2,0.2,50.0,1000,2543,2016,999,49330.839844,0.020251
10,1000,0.2,0.2,50.0,1000,2414,1931,999,48348.257812,0.020663
