Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1947,1745,999,49740.886719,0.020084
2,1000,0.1,0.2,50.0,1000,1904,1709,999,48958.980469,0.020405
3,1000,0.1,0.2,50.0,1000,2033,1788,999,49391.218750,0.020226
4,1000,0.1,0.2,50.0,1000,1896,1696,997,50569.769531,0.019715
5,1000,0.1,0.2,50.0,1000,1879,1675,999,51042.035156,0.019572
6,1000,0.1,0.2,50.0,1000,1923,1740,998,49585.660156,0.020127
7,1000,0.1,0.2,50.0,1000,1911,1721,999,50423.917969,0.019812
8,1000,0.1,0.2,50.0,1000,1934,1746,999,50172.437500,0.019911
9,1000,0.1,0.2,50.0,1000,2002,1801,999,48518.109375,0.020590
10,1000,0.1,0.2,50.0,1000,1897,1736,999,48714.191406,0.020507
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2467,1958,999,51257.878906,0.019490
2,1000,0.2,0.2,50.0,1000,2431,1941,999,49630.285156,0.020129
3,1000,0.2,0.2,50.0,1000,2558,2004,999,50756.632812,0.019682
4,1000,0.2,0.2,50.0,1000,2405,1908,999,49470.941406,0.020194
5,1000,0.2,0.2,50.0,1000,2408,1939,999,49410.000000,0.020219
6,1000,0.2,0.2,50.0,1000,2492,2000,999,50224.593750,0.019891
7,1000,0.2,0.2,50.0,1000,2537,1994,995,50274.972656,0.019791
8,1000,0.2,0.2,50.0,1000,2368,1907,998,50824.402344,0.019636
9,1000,0.2,0.2,50.0,1000,2543,2016,999,49330.839844,0.020251
10,1000,0.2,0.2,50.0,1000,2414,1931,999,48348.257812,0.020663
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4436,2627,999,49304.464844,0.020262
2,1000,0.4,0.2,50.0,1000,4751,2838,999,50056.257812,0.019958
3,1000,0.4,0.2,50.0,1000,4474,2664,999,49629.804688,0.020129
4,1000,0.4,0.2,50.0,1000,4209,2596,999,50702.199219,0.019703
5,1000,0.4,0.2,50.0,1000,4328,2618,999,48815.324219,0.020465
6,1000,0.4,0.2,50.0,1000,4169,2523,999,49833.355469,0.020047
7,1000,0.4,0.2,50.0,1000,4534,2665,998,50805.855469,0.019643
8,1000,0.4,0.2,50.0,1000,4309,2615,998,51372.812500,0.019427
9,1000,0.4,0.2,50.0,1000,4500,2658,999,48425.359375,0.020630
10,1000,0.4,0.2,50.0,1000,4396,2659,999,48458.199219,0.020616
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9708,3897,998,50953.281250,0.019587
2,1000,0.6,0.2,50.0,1000,10237,3986,998,49855.171875,0.020018
3,1000,0.6,0.2,50.0,1000,10372,4146,999,48597.792969,0.020556
4,1000,0.6,0.2,50.0,1000,9504,3905,993,48846.421875,0.020329
5,1000,0.6,0.2,50.0,1000,10111,4038,999,49883.425781,0.020027
6,1000,0.6,0.2,50.0,1000,9751,3963,990,49563.070312,0.019975
7,1000,0.6,0.2,50.0,1000,10347,4160,998,48655.015625,0.020512
8,1000,0.6,0.2,50.0,1000,9862,3940,998,52519.984375,0.019002
9,1000,0.6,0.2,50.0,1000,9748,3815,980,49092.136719,0.019962
10,1000,0.6,0.2,50.0,1000,9604,3868,994,48417.066406,0.020530
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,10586,2144,271,51107.945312,0.005303
2,1000,0.8,0.2,50.0,1000,10389,2075,259,50488.203125,0.005130
3,1000,0.8,0.2,50.0,1000,10434,2100,256,49577.972656,0.005164
4,1000,0.8,0.2,50.0,1000,11353,2324,354,50466.019531,0.007015
5,1000,0.8,0.2,50.0,1000,10877,2143,283,49388.406250,0.005730
6,1000,0.8,0.2,50.0,1000,10952,2190,289,51566.816406,0.005604
7,1000,0.8,0.2,50.0,1000,11921,2327,276,49958.414062,0.005525
8,1000,0.8,0.2,50.0,1000,12006,2416,306,51005.972656,0.005999
9,1000,0.8,0.2,50.0,1000,11103,2200,284,51341.941406,0.005532
10,1000,0.8,0.2,50.0,1000,12754,2517,344,50476.433594,0.006815
